ID,Name,Role,Full Name,Image,DOB,Batting Style (s),Bowling Style (s),Batting Style (l),Bowling Style(l),Team ID,Playing Role
2230,RT Ponting,C,Ricky Ponting,/db/PICTURES/CMS/202600/202613.1.jpg,19-12-1974,rhb,rm,right-hand bat,right-arm medium,2.0,top-order batter
8876,MJ Clarke,VC,Michael Clarke,/db/PICTURES/CMS/202500/202579.1.jpg,2-4-1981,rhb,sla,right-hand bat,slow left-arm orthodox,2.0,middle-order batter
7445,NW Bracken,P,Nathan Bracken,/db/PICTURES/CMS/103900/103970.1.jpg,12-9-1977,rhb,lfm,right-hand bat,left-arm fast-medium,2.0,bowler
6426,BJ Haddin,WK,Brad Haddin,/db/PICTURES/CMS/202500/202587.1.jpg,23-10-1977,rhb,,right-hand bat,,2.0,wicketkeeper batter
10122,NM Hauritz,P,Nathan Hauritz,/db/PICTURES/CMS/103900/103952.1.jpg,18-10-1981,rhb,ob,right-hand bat,right-arm offbreak,2.0,bowler
44865,BW Hilfenhaus,P,Ben Hilfenhaus,/db/PICTURES/CMS/202500/202599.1.jpg,15-3-1983,rhb,rfm,right-hand bat,right-arm fast-medium,2.0,bowler
9235,JR Hopes,P,James Hopes,/db/PICTURES/CMS/103900/103971.1.jpg,24-10-1978,rhb,rm,right-hand bat,right-arm medium,2.0,allrounder
11984,DJ Hussey,P,David Hussey,/db/PICTURES/CMS/202500/202593.1.jpg,15-7-1977,rhb,ob,right-hand bat,right-arm offbreak,2.0,allrounder
6256,MEK Hussey,P,Michael Hussey,/db/PICTURES/CMS/202500/202597.1.jpg,27-5-1975,lhb,rm,left-hand bat,right-arm medium,2.0,middle-order batter
10130,MG Johnson,P,Mitchell Johnson,/db/PICTURES/CMS/202600/202605.1.jpg,2-11-1981,lhb,lf,left-hand bat,left-arm fast,2.0,bowler
5966,B Lee,P,Brett Lee,/db/PICTURES/CMS/202600/202607.1.jpg,8-11-1976,rhb,rf,right-hand bat,right-arm fast,2.0,bowler
45980,PM Siddle,P,Peter Siddle,/db/PICTURES/CMS/202600/202617.1.jpg,25-11-1984,rhb,rfm,right-hand bat,right-arm fast-medium,2.0,bowler
48739,DA Warner,P,David Warner,/db/PICTURES/CMS/263500/263541.1.jpg,27-10-1986,lhb,lb,left-hand bat,legbreak,2.0,opening batter
10125,SR Watson,P,Shane Watson,/db/PICTURES/CMS/202600/202621.1.jpg,17-6-1981,rhb,rfm,right-hand bat,right-arm fast-medium,2.0,allrounder
12049,CL White,P,Cameron White,/db/PICTURES/CMS/202600/202623.1.jpg,18-8-1983,rhb,lbg,right-hand bat,legbreak googly,2.0,middle-order batter
4382,A Symonds,P,Andrew Symonds,/db/PICTURES/CMS/104200/104288.1.jpg,9-6-1975,rhb,"rm,ob",right-hand bat,"right-arm medium,right-arm offbreak",2.0,allrounder
24667,Mohammad Ashraful,C,Mohammad Ashraful,/db/PICTURES/CMS/303100/303143.jpg,7-7-1984,rhb,"ob,lb",right-hand bat,"right-arm offbreak,legbreak",25.0,middle-order batter
45159,Abdur Razzak,P,Abdur Razzak,/db/PICTURES/CMS/202800/202853.1.jpg,15-6-1982,lhb,sla,left-hand bat,slow left-arm orthodox,25.0,bowler
47218,Junaid Siddique,P,Zunaed Siddique,/db/PICTURES/CMS/202900/202933.1.jpg,30-10-1987,lhb,ob,left-hand bat,right-arm offbreak,25.0,top-order batter
47352,Mahmudullah,P,Mahmudullah,/db/PICTURES/CMS/263500/263581.jpg,4-2-1986,rhb,ob,right-hand bat,right-arm offbreak,25.0,allrounder
24672,Mashrafe Mortaza,P,Mashrafe Mortaza,/db/PICTURES/CMS/302900/302999.jpg,5-10-1983,rhb,rfm,right-hand bat,right-arm fast-medium,25.0,bowler
50414,Mohammad Mithun,P,Mohammad Mithun,/db/PICTURES/CMS/303100/303144.jpg,2-3-1991,rhb,,right-hand bat,,25.0,top-order batter
